English,Turkish,EnSample,TrSample
Hello,Merhaba,Hello how are you?,Merhaba nasılsın?
Good,İyi,She is a good student.,O iyi bir öğrenci.
Bad,Kötü,This is a bad idea.,Bu kötü bir fikir.
Yes,Evet,Yes I am ready.,Evet hazırım.
No,Hayır,No thank you.,Hayır teşekkürler.
Please,Lütfen,Please come here.,Lütfen buraya gel.
Thanks,Teşekkürler,Thanks for your help.,Yardımın için teşekkürler.
Name,İsim,My name is Ali.,Benim ismim Ali.
Man,Adam,That man is tall.,Şu adam uzun.
Woman,Kadın,She is a kind woman.,O kibar bir kadın.
Boy,Erkek Çocuk,The boy is playing.,Erkek çocuk oynuyor.
Girl,Kız Çocuk,The girl reads a book.,Kız çocuk kitap okuyor.
Family,Aile,I love my family.,Ailemi seviyorum.
Friend,Arkadaş,He is my best friend.,O benim en iyi arkadaşım.
House,Ev,Our house is big.,Evimiz büyük.
School,Okul,I go to school everyday.,Her gün okula giderim.
Job,İş,I have a new job.,Yeni bir işim var.
Money,Para,I need some money.,Biraz paraya ihtiyacım var.
Time,Zaman,What time is it?,Saat kaç?
Day,Gün,Have a nice day.,İyi günler.
Night,Gece,Good night see you.,İyi geceler görüşürüz.
Today,Bugün,Today is Monday.,Bugün Pazartesi.
Tomorrow,Yarın,I will come tomorrow.,Yarın geleceğim.
Water,Su,Can I have some water?,Biraz su alabilir miyim?
Food,Yiyecek,The food is delicious.,Yiyecek lezzetli.
Bread,Ekmek,I eat bread and cheese.,Ekmek ve peynir yerim.
Milk,Süt,She drinks milk.,O süt içer.
Coffee,Kahve,I like black coffee.,Sade kahve severim.
Tea,Çay,Do you want tea?,Çay ister misin?
Apple,Elma,An apple is red.,Bir elma kırmızıdır.
Book,Kitap,This book is old.,Bu kitap eski.
Pen,Tükenmez Kalem,Give me the pen.,Bana kalemi ver.
Car,Araba,My car is blue.,Arabam mavi.
Bus,Otobüs,The bus is late.,Otobüs gecikti.
Door,Kapı,Close the door please.,Lütfen kapıyı kapat.
Window,Pencere,Open the window.,Pencereyi aç.
Table,Masa,The phone is on the table.,Telefon masanın üzerinde.
Chair,Sandalye,Sit on the chair.,Sandalyeye otur.
Computer,Bilgisayar,I use a computer.,Bilgisayar kullanıyorum.
Phone,Telefon,Where is my phone?,Telefonum nerede?
City,Şehir,London is a big city.,Londra büyük bir şehir.
Street,Cadde,We live on this street.,Bu caddede yaşıyoruz.
Sun,Güneş,The sun is hot.,Güneş sıcak.
Moon,Ay,Look at the moon.,Aya bak.
Rain,Yağmur,I do not like rain.,Yağmuru sevmem.
Tree,Ağaç,That is a green tree.,Şu yeşil bir ağaç.
Flower,Çiçek,This flower is beautiful.,Bu çiçek güzel.
Cat,Kedi,The cat is sleeping.,Kedi uyuyor.
Dog,Köpek,I have a dog.,Bir köpeğim var.
Bird,Kuş,The bird can fly.,Kuş uçabilir.
Big,Büyük,It is a big house.,O büyük bir ev.
Small,Küçük,The car is small.,Araba küçük.
Hot,Sıcak,The tea is very hot.,Çay çok sıcak.
Cold,Soğuk,Today is very cold.,Bugün çok soğuk.
New,Yeni,This is my new phone.,Bu benim yeni telefonum.
Old,Eski,My car is very old.,Arabam çok eski.
Happy,Mutlu,I am very happy.,Çok mutluyum.
Sad,Üzgün,Why are you sad?,Neden üzgünsün?
Beautiful,Güzel,You are beautiful.,Sen güzelsin.
Ugly,Çirkin,That is an ugly hat.,O çirkin bir şapka.
Fast,Hızlı,He runs very fast.,O çok hızlı koşar.
Slow,Yavaş,Speak slow please.,Lütfen yavaş konuş.
Always,Her zaman,I always wake up early.,Her zaman erken uyanırım.
Never,Asla,I never eat meat.,Asla et yemem.
Sometimes,Bazen,Sometimes I walk.,Bazen yürürüm.
Here,Burada,Wait here please.,Lütfen burada bekle.
There,Orada,My bag is there.,Çantam orada.
Now,Şimdi,We must go now.,Şimdi gitmeliyiz.
Who,Kim,Who is that?,O kim?
What,Ne,What is your name?,Adın ne?
Where,Nerede,Where do you live?,Nerede yaşıyorsun?
When,Ne zaman,When is your birthday?,Doğum günün ne zaman?
Why,Neden,Why are you crying?,Neden ağlıyorsun?
How,Nasıl,How do you do?,Nasılsın?
I,Ben,I am a teacher.,Ben bir öğretmenim.
You,Sen,You are my friend.,Sen benim arkadaşımsın.
He,O (Erkek),He is tall.,O uzun boylu.
She,O (Kadın),She is smart.,O zeki.
We,Biz,We are students.,Biz öğrenciyiz.
They,Onlar,They are coming.,Onlar geliyorlar.
Go,Gitmek,I go to work.,İşe giderim.
Come,Gelmek,Come with me.,Benimle gel.
See,Görmek,I see a bird.,Bir kuş görüyorum.
Look,Bakmak,Look at me.,Bana bak.
Listen,Dinlemek,Listen to the music.,Müziği dinle.
Speak,Konuşmak,I speak English.,İngilizce konuşurum.
Read,Okumak,I read a newspaper.,Gazete okurum.
Write,Yazmak,Write your name.,İsmini yaz.
Eat,Yemek,I eat lunch.,Öğle yemeği yerim.
Drink,İçmek,I drink water.,Su içerim.
Sleep,Uyumak,I sleep at night.,Gece uyurum.
Walk,Yürümek,I walk to the park.,Parka yürürüm.
Run,Koşmak,Run fast.,Hızlı koş.
Love,Sevmek,I love you.,Seni seviyorum.
Like,Hoşlanmak,I like chocolate.,Çikolata severim.
Want,İstemek,I want an ice cream.,Dondurma istiyorum.
Need,İhtiyaç duymak,I need help.,Yardıma ihtiyacım var.
Know,Bilmek,I know the answer.,Cevabı biliyorum.
Think,Düşünmek,I think it is good.,Bence o iyi.
Make,Yapmak,I make a cake.,Kek yaparım.
