english,turkish,sampleEn,sampleTr
Hello,Merhaba,Hello my friend.,Merhaba arkadaşım.
Hi,Selam,Hi how are you?,Selam nasılsın?
I,Ben,I am a student.,Ben bir öğrenciyim.
You,Sen,You are my teacher.,Sen benim öğretmenimsin.
He,O (Erkek),He is a doctor.,O bir doktordur.
She,O (Kadın),She is happy.,O mutludur.
We,Biz,We are family.,Biz aileyiz.
They,Onlar,They are playing.,Onlar oynuyorlar.
It,O (Cansız/Hayvan),It is a cat.,O bir kedi.
Name,İsim,My name is Ali.,Benim ismim Ali.
Yes,Evet,Yes I do.,Evet yaparım.
No,Hayır,No thank you.,Hayır teşekkürler.
Please,Lütfen,Please sit down.,Lütfen otur.
Thanks,Teşekkürler,Thanks for help.,Yardım için teşekkürler.
Good,İyi,This is good.,Bu iyi.
Bad,Kötü,The weather is bad.,Hava kötü.
Morning,Sabah,Good morning.,Günaydın (İyi sabahlar).
Night,Gece,Good night.,İyi geceler.
Day,Gün,Have a nice day.,İyi günler.
Time,Zaman,What time is it?,Saat kaç?
Today,Bugün,Today is Sunday.,Bugün Pazar.
Tomorrow,Yarın,See you tomorrow.,Yarın görüşürüz.
Yesterday,Dün,I worked yesterday.,Dün çalıştım.
Week,Hafta,See you next week.,Haftaya görüşürüz.
Year,Yıl,Happy new year.,Mutlu yıllar.
Man,Adam,That man is tall.,Şu adam uzun.
Woman,Kadın,She is a kind woman.,O kibar bir kadın.
Boy,Erkek Çocuk,The boy runs.,Erkek çocuk koşar.
Girl,Kız Çocuk,The girl reads.,Kız çocuk okur.
Child,Çocuk,He is a child.,O bir çocuk.
Family,Aile,I love my family.,Ailemi seviyorum.
Father,Baba,My father works.,Babam çalışıyor.
Mother,Anne,My mother cooks.,Annem yemek pişiriyor.
Brother,Erkek Kardeş,My brother is here.,Erkek kardeşim burada.
Sister,Kız Kardeş,My sister plays.,Kız kardeşim oynuyor.
Water,Su,I drink water.,Su içerim.
Bread,Ekmek,I eat bread.,Ekmek yerim.
Milk,Süt,Do you like milk?,Süt sever misin?
Tea,Çay,Hot tea please.,Sıcak çay lütfen.
Coffee,Kahve,Black coffee please.,Sade kahve lütfen.
Food,Yiyecek,The food is hot.,Yiyecek sıcak.
House,Ev,My house is big.,Evim büyük.
Home,Ev (Yuva),I go home.,Eve gidiyorum.
School,Okul,The school is close.,Okul yakın.
Work,İş,I go to work.,İşe gidiyorum.
Job,Meslek/İş,I have a new job.,Yeni bir işim var.
Book,Kitap,Read this book.,Bu kitabı oku.
Pen,Kalem,Give me the pen.,Bana kalemi ver.
Car,Araba,My car is blue.,Arabam mavi.
Bus,Otobüs,The bus is late.,Otobüs gecikti.
Door,Kapı,Open the door.,Kapıyı aç.
Window,Pencere,Close the window.,Pencereyi kapat.
Table,Masa,On the table.,Masanın üzerinde.
Chair,Sandalye,A red chair.,Kırmızı bir sandalye.
Phone,Telefon,My phone is new.,Telefonum yeni.
Computer,Bilgisayar,I use a computer.,Bilgisayar kullanıyorum.
City,Şehir,This city is nice.,Bu şehir güzel.
Country,Ülke,Which country is this?,Bu hangi ülke?
Street,Cadde,The street is long.,Cadde uzun.
Sun,Güneş,The sun shines.,Güneş parlıyor.
Moon,Ay,Look at the moon.,Aya bak.
Rain,Yağmur,I like rain.,Yağmuru severim.
Snow,Kar,Snow is white.,Kar beyazdır.
Tree,Ağaç,A big tree.,Büyük bir ağaç.
Flower,Çiçek,A nice flower.,Güzel bir çiçek.
Cat,Kedi,My cat is white.,Kedim beyaz.
Dog,Köpek,The dog barks.,Köpek havlıyor.
Bird,Kuş,The bird flies.,Kuş uçuyor.
Big,Büyük,A big house.,Büyük bir ev.
Small,Küçük,A small car.,Küçük bir araba.
Hot,Sıcak,The tea is hot.,Çay sıcak.
Cold,Soğuk,The water is cold.,Su soğuk.
Old,Eski/Yaşlı,An old man.,Yaşlı bir adam.
New,Yeni,A new phone.,Yeni bir telefon.
Happy,Mutlu,I am happy.,Mutluyum.
Sad,Üzgün,Why are you sad?,Neden üzgünsün?
Beautiful,Güzel,A beautiful day.,Güzel bir gün.
Ugly,Çirkin,An ugly hat.,Çirkin bir şapka.
Fast,Hızlı,Run fast.,Hızlı koş.
Slow,Yavaş,Walk slow.,Yavaş yürü.
Red,Kırmızı,A red apple.,Kırmızı bir elma.
Blue,Mavi,The sky is blue.,Gökyüzü mavi.
Green,Yeşil,Green grass.,Yeşil çimen.
Yellow,Sarı,A yellow sun.,Sarı bir güneş.
Black,Siyah,A black cat.,Siyah bir kedi.
White,Beyaz,White snow.,Beyaz kar.
One,Bir,One apple.,Bir elma.
Two,İki,Two cars.,İki araba.
Three,Üç,Three days.,Üç gün.
Go,Gitmek,I go now.,Şimdi gidiyorum.
Come,Gelmek,Come here.,Buraya gel.
See,Görmek,I see you.,Seni görüyorum.
Look,Bakmak,Look at that.,Şuna bak.
Listen,Dinlemek,Listen to me.,Beni dinle.
Speak,Konuşmak,I speak English.,İngilizce konuşurum.
Read,Okumak,Read a book.,Kitap oku.
Write,Yazmak,Write a letter.,Mektup yaz.
Eat,Yemek,Eat food.,Yemek ye.
Drink,İçmek,Drink water.,Su iç.
Sleep,Uyumak,Sleep well.,İyi uyu.
Four,Dört,I have four pens.,Dört kalemim var.
Five,Beş,Give me five minutes.,Bana beş dakika ver.
Six,Altı,She is six years old.,O altı yaşında.
Seven,Yedi,Seven days in a week.,Haftada yedi gün vardır.
Eight,Sekiz,Wake up at eight.,Sekizde uyan.
Nine,Dokuz,It is nine o'clock.,Saat dokuz.
Ten,On,Ten fingers.,On parmak.
Twenty,Yirmi,Twenty dollars.,Yirmi dolar.
Hundred,Yüz,A hundred people.,Yüz insan.
First,Birinci,This is the first time.,Bu birinci sefer.
Second,İkinci,The second floor.,İkinci kat.
Minute,Dakika,Wait a minute.,Bir dakika bekle.
Hour,Saat (Süre),One hour later.,Bir saat sonra.
Walk,Yürümek,I walk to school.,Okula yürürüm.
Play,Oynamak,Children play in the park.,Çocuklar parkta oynar.
Study,Ders Çalışmak,I study English.,İngilizce çalışıyorum.
Learn,Öğrenmek,We learn fast.,Hızlı öğreniyoruz.
Teach,Öğretmek,She teaches math.,O matematik öğretir.
Buy,Satın Almak,I want to buy bread.,Ekmek almak istiyorum.
Sell,Satmak,They sell cars.,Onlar araba satıyorlar.
Pay,Ödemek,Pay the bill.,Hesabı öde.
Start,Başlamak,Let's start.,Hadi başlayalım.
Stop,Durmak,Stop the car.,Arabayı durdur.
Finish,Bitirmek,Finish your food.,Yemeğini bitir.
Head,Baş/Kafa,My head hurts.,Başım ağrıyor.
Hair,Saç,She has long hair.,Onun uzun saçları var.
Eye,Göz,Close your eyes.,Gözlerini kapat.
Ear,Kulak,I have two ears.,İki kulağım var.
Nose,Burun,Touch your nose.,Burnuna dokun.
Mouth,Ağız,Open your mouth.,Ağzını aç.
Tooth,Diş,Brush your teeth.,Dişlerini fırçala.
Hand,El,Wash your hands.,Ellerini yıka.
Finger,Parmak,Five fingers.,Beş parmak.
Arm,Kol,My arm is strong.,Kolum güçlü.
Leg,Bacak,He broke his leg.,Bacağını kırdı.
Foot,Ayak,My foot hurts.,Ayağım acıyor.
Face,Yüz (Çehre),Wash your face.,Yüzünü yıka.
Body,Vücut,Healthy body.,Sağlıklı vücut.
Shirt,Gömlek,A white shirt.,Beyaz bir gömlek.
T-shirt,Tişört,I like this t-shirt.,Bu tişörtü sevdim.
Pants,Pantolon,Blue pants.,Mavi pantolon.
Dress,Elbise,A red dress.,Kırmızı bir elbise.
Skirt,Etek,She wears a skirt.,O etek giyer.
Shoe,Ayakkabı,New shoes.,Yeni ayakkabılar.
Sock,Çorap,Where are my socks?,Çoraplarım nerede?
Hat,Şapka,Wear a hat.,Şapka tak.
Coat,Mont/Kaban,It is cold wear a coat.,Hava soğuk mont giy.
Jacket,Ceket,A leather jacket.,Deri bir ceket.
Bag,Çanta,My bag is heavy.,Çantam ağır.
Glasses,Gözlük,I need glasses.,Gözlüğe ihtiyacım var.
Park,Park,Let's go to the park.,Hadi parka gidelim.
Garden,Bahçe,A beautiful garden.,Güzel bir bahçe.
Shop,Dükkan/Mağaza,The shop is open.,Dükkan açık.
Market,Market/Pazar,I go to the market.,Markete gidiyorum.
Bank,Banka,Where is the bank?,Banka nerede?
Hospital,Hastane,Go to the hospital.,Hastaneye git.
Hotel,Otel,A nice hotel.,Güzel bir otel.
Airport,Havalimanı,To the airport please.,Havalimanına lütfen.
Plane,Uçak,The plane flies.,Uçak uçar.
Train,Tren,The train is fast.,Tren hızlıdır.
Taxi,Taksi,Call a taxi.,Taksi çağır.
Bicycle,Bisiklet,I ride a bicycle.,Bisiklet sürerim.
Road,Yol,The road is long.,Yol uzun.
Map,Harita,Look at the map.,Haritaya bak.
Room,Oda,My room is clean.,Odam temiz.
Kitchen,Mutfak,She is in the kitchen.,O mutfakta.
Bathroom,Banyo,Where is the bathroom?,Banyo nerede?
Bedroom,Yatak Odası,I sleep in the bedroom.,Yatak odasında uyurum.
Wall,Duvar,A white wall.,Beyaz bir duvar.
Floor,Zemin/Yer,Sit on the floor.,Yere otur.
Music,Müzik,Listen to music.,Müzik dinle.
Song,Şarkı,Sing a song.,Bir şarkı söyle.
Movie,Film,Watch a movie.,Film izle.
Game,Oyun,Play a game.,Oyun oyna.
Picture,Resim,Nice picture.,Güzel resim.
Paper,Kağıt,I need paper.,Kağıda ihtiyacım var.
Key,Anahtar,Where is my key?,Anahtarım nerede?
Money,Para,I have no money.,Param yok.
Wallet,Cüzdan,My wallet is lost.,Cüzdanım kayıp.
Bag,Çanta,Open your bag.,Çantanı aç.
Box,Kutu,What is in the box?,Kutuda ne var?
Gift,Hediye,This gift is for you.,Bu hediye senin için.
Birthday,Doğum Günü,Happy birthday.,Doğum günün kutlu olsun.
Party,Parti,Lets have a party.,Hadi parti yapalım.
Friend,Arkadaş,My best friend.,En iyi arkadaşım.
Teacher,Öğretmen,Listen to the teacher.,Öğretmeni dinle.
