English,Turkish,EnSample,TrSample
Abundant,Bol/Bereketli,There is abundant evidence to support this theory.,Bu teoriyi destekleyen bol miktarda kanıt var.
Accelerate,Hızlandırmak,The car accelerated quickly down the open road.,Araba açık yolda hızla hızlandı.
Accordance,Uygunluk/Gereğince,We must act in accordance with the new rules.,Yeni kurallar gereğince hareket etmeliyiz.
Accountable,Sorumlu,Managers are accountable for their team's performance.,Yöneticiler ekiplerinin performansından sorumludur.
Accumulate,Biriktirmek/Yığmak,Dust tends to accumulate in the corners of the room.,Toz odanın köşelerinde birikme eğilimindedir.
Accusation,Suçlama,He denied the accusation of theft immediately.,Hırsızlık suçlamasını derhal reddetti.
Accustomed,Alışkın,I am not accustomed to getting up so early.,Bu kadar erken kalkmaya alışkın değilim.
Acquaintance,Tanıdık,He is just a casual acquaintance not a friend.,O sadece sıradan bir tanıdık arkadaş değil.
Activate,Etkinleştirmek,Please activate your account by clicking the link.,Lütfen linke tıklayarak hesabınızı etkinleştirin.
Acute,Keskin/Şiddetli,She felt an acute pain in her chest.,Göğsünde şiddetli bir ağrı hissetti.
Adaptation,Uyarlama/Uyum,The film is an adaptation of a famous novel.,Film ünlü bir romanın uyarlamasıdır.
Addictive,Bağımlılık yapan,Video games can be highly addictive for children.,Video oyunları çocuklar için oldukça bağımlılık yapıcı olabilir.
Adhere,Bağlı kalmak/Yapışmak,We must adhere to the original plan.,Orijinal plana sadık kalmalıyız.
Adjacent,Bitişik/Komşu,Our room is adjacent to the hotel pool.,Odamız otel havuzuna bitişiktir.
Administrative,İdari/Yönetimsel,She has excellent administrative skills for this job.,Bu iş için mükemmel idari becerileri var.
Admission,Kabul/Giriş,Admission to the museum is free on Sundays.,Pazar günleri müzeye giriş ücretsizdir.
Adolescent,Ergen,Adolescent behavior can sometimes be difficult to understand.,Ergen davranışlarını anlamak bazen zor olabilir.
Adoption,Evlat edinme/Benimseme,The adoption of new technology is increasing rapidly.,Yeni teknolojinin benimsenmesi hızla artıyor.
Adverse,Olumsuz/Ters,The drug had some adverse side effects.,İlacın bazı olumsuz yan etkileri vardı.
Advisory,Danışma/Tavsiye niteliğinde,He works in an advisory capacity for the government.,Hükümet için danışmanlık kapasitesinde çalışıyor.
Aesthetic,Estetik,The building has a unique aesthetic appeal.,Binanın eşsiz bir estetik çekiciliği var.
Affection,Sevgi/Şefkat,She felt deep affection for her grandparents.,Büyükanne ve büyükbabasına derin bir sevgi duydu.
Affirm,Doğrulamak/Onaylamak,The suspect affirmed that he was at home.,Şüpheli evde olduğunu doğruladı.
Affordable,Ekonomik/Uygun fiyatlı,We need affordable housing for young families.,Genç aileler için uygun fiyatlı konuta ihtiyacımız var.
Aftermath,Sonrası (Olay),The city was quiet in the aftermath of the storm.,Fırtınanın sonrasında şehir sessizdi.
Aggravate,Ağırlaştırmak/Kötüleştirmek,Stress can aggravate your existing health problems.,Stres mevcut sağlık sorunlarınızı ağırlaştırabilir.
Aggression,Saldırganlık,He showed signs of aggression towards the police.,Polise karşı saldırganlık belirtileri gösterdi.
Agitation,Çalkantı/Huzursuzluk,There was visible agitation among the crowd.,Kalabalık arasında gözle görülür bir huzursuzluk vardı.
Agony,Izdırap/Şiddetli acı,He was in agony after breaking his leg.,Bacağını kırdıktan sonra ızdırap içindeydi.
Agreeable,Hoş/Kabul edilebilir,We spent an agreeable evening with friends.,Arkadaşlarla hoş bir akşam geçirdik.
Agricultural,Tarımsal,The country depends on agricultural exports.,Ülke tarımsal ihracata bağımlıdır.
Airline,Havayolu,This airline offers cheap flights to Europe.,Bu havayolu Avrupa'ya ucuz uçuşlar sunuyor.
Alarming,Endişe verici/Korkutucu,The crime rate is increasing at an alarming rate.,Suç oranı endişe verici bir hızla artıyor.
Album,Albüm,She released her new music album yesterday.,Dün yeni müzik albümünü yayınladı.
Alienate,Yabancılaştırmak/Uzaklaştırmak,His rude behavior alienated his friends.,Kaba davranışları arkadaşlarını uzaklaştırdı.
Allege,İddia etmek (Kanıtsız),The prosecution alleges that he stole the money.,Savcılık parayı onun çaldığını iddia ediyor.
Alleviate,Hafifletmek/Dindirmek,This medicine will alleviate your pain.,Bu ilaç ağrınızı hafifletecek.
Allocation,Tahsis/Paylaştırma, The allocation of resources was not fair.,Kaynakların tahsisi adil değildi.
Allowance,Harçlık/Ödenek,My parents give me a weekly allowance.,Ailem bana haftalık harçlık veriyor.
Alongside,Yanında/Sıra,He worked alongside his father for years.,Yıllarca babasının yanında çalıştı.
Aloud,Sesli,Please read the text aloud for everyone.,Lütfen metni herkes için sesli oku.
Alphabet,Alfabe,The English alphabet has twenty-six letters.,İngiliz alfabesinde yirmi altı harf vardır.
Alteration,Değişiklik,The dress needs a minor alteration.,Elbisenin küçük bir değişikliğe ihtiyacı var.
Altitude,Rakım/Yükseklik,The plane is flying at a high altitude.,Uçak yüksek bir rakımda uçuyor.
Altogether,Tamamen/Hep beraber,It was an altogether different situation.,Tamamen farklı bir durumdu.
Aluminium,Alüminyum,Cans are often made of aluminium.,Kutular genellikle alüminyumdan yapılır.
Ambassador,Büyükelçi,The ambassador represented his country well.,Büyükelçi ülkesini iyi temsil etti.
Ambiguity,Belirsizlik/Anlam karmaşası,There is some ambiguity in the contract.,Sözleşmede bazı belirsizlikler var.
Ambitious,Hırslı,She is ambitious and wants to succeed.,O hırslı ve başarılı olmak istiyor.
Ambulance,Ambulans,Call an ambulance immediately for the injured man.,Yaralı adam için derhal bir ambulans çağırın.
Amendment,Değişiklik (Yasa),They proposed an amendment to the law.,Yasada bir değişiklik teklif ettiler.
Amid,Arasında/Ortasında,He stood amid the ruins of the city.,Şehrin kalıntıları arasında durdu.
Ammunition,Mühimmat,The soldiers ran out of ammunition.,Askerlerin mühimmatı tükendi.
Amnesty,Genel af,The government declared an amnesty for prisoners.,Hükümet mahkumlar için genel af ilan etti.
Ample,Bol/Yeterli,There is ample space for parking here.,Burada park etmek için bolca alan var.
Amplification,Güçlendirme/Yükseltme,The sound needs amplification to be heard.,Sesin duyulması için yükseltilmesi gerekiyor.
Amusement,Eğlence,To my amusement he started singing.,Eğlenmeme sebep olacak şekilde şarkı söylemeye başladı.
