English,Turkish,EnSample,TrSample
Able,Yapabilen/Muktedir,I am not able to come to work today.,Bugün işe gelemeyecek durumdayım.
Accident,Kaza,He had a car accident yesterday.,Dün bir araba kazası geçirdi.
Across,Karşısında/Karşıya,The bank is across the street.,Banka caddenin karşısında.
Activity,Aktivite/Etkinlik,Reading is a quiet activity.,Okumak sessiz bir aktivitedir.
Actor,Erkek Oyuncu,He is a famous actor.,O ünlü bir aktör.
Actually,Aslında,Actually I don't like coffee.,Aslında kahveyi sevmem.
Add,Eklemek,Please add some sugar.,Lütfen biraz şeker ekle.
Address,Adres,I lost your address.,Adresini kaybettim.
Adult,Yetişkin,This movie is for adults.,Bu film yetişkinler için.
Advice,Tavsiye,Can you give me some advice?,Bana biraz tavsiye verebilir misin?
Afraid,Korkmuş,Don't be afraid of mistakes.,Hatalardan korkma.
After,Sonra,I will call you after dinner.,Seni akşam yemeğinden sonra arayacağım.
Ago,Önce,I arrived two days ago.,İki gün önce vardım.
Agree,Katılmak/Hemfikir olmak,I agree with your opinion.,Fikrine katılıyorum.
Air,Hava,Fresh air is good for you.,Temiz hava senin için iyidir.
Almost,Neredeyse,I am almost ready.,Neredeyse hazırım.
Already,Zaten/Çoktan,I have already finished my homework.,Ödevimi çoktan bitirdim.
Also,Ayrıca,She speaks English and also French.,İngilizce ve ayrıca Fransızca konuşuyor.
Always,Her zaman,She is always late for work.,O işe her zaman geç kalır.
Amazing,Şaşırtıcı/Harika,The view was amazing.,Manzara harikaydı.
Angry,Kızgın,My father was angry because I was late.,Geç kaldığım için babam kızgındı.
Animal,Hayvan,Lions are wild animals.,Aslanlar vahşi hayvanlardır.
Another,Başka/Bir diğeri,Can I have another cup of tea?,Bir fincan çay daha alabilir miyim?
Answer,Cevap/Cevaplamak,She didn't answer my question.,Sorumu cevaplamadı.
Any,Hiç/Herhangi,Do you have any money?,Hiç paran var mı?
Anyone,Kimse/Herhangi biri,Is anyone home?,Evde kimse var mı?
Anything,Bir şey/Herhangi bir şey,Do you need anything else?,Başka bir şeye ihtiyacın var mı?
Apartment,Apartman dairesi,They live in a small apartment.,Küçük bir dairede yaşıyorlar.
Appear,Görünmek/Ortaya çıkmak,He appeared suddenly.,Aniden ortaya çıktı.
Area,Alan/Bölge,This is a dangerous area.,Burası tehlikeli bir bölge.
Arm,Kol,He broke his arm while playing.,Oynarken kolunu kırdı.
Around,Etrafında/Civarında,I will be there around 5 PM.,Saat 5 civarında orada olacağım.
